unit_id,domain,concept,difficulty,band,prerequisites,reference_answer,misconception_answer,misconception_description,provenance
SYNTH_managerial_accounting_004,managerial_accounting,synthetic_concept_introductory_004,2,introductory,,SYNTH_ANSWER_015,SYNTH_MISCONCEPTION_015,placeholder error mode 015; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_004,corporate_finance,synthetic_concept_intermediate_004,3,intermediate,,SYNTH_ANSWER_016,SYNTH_MISCONCEPTION_016,placeholder error mode 016; no instructional content behind it,synthetic_placeholder
SYNTH_operations_004,operations,synthetic_concept_advanced_004,4,advanced,,SYNTH_ANSWER_017,SYNTH_MISCONCEPTION_017,placeholder error mode 017; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_004,marketing_analytics,synthetic_concept_introductory_004,2,introductory,,SYNTH_ANSWER_018,SYNTH_MISCONCEPTION_018,placeholder error mode 018; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_004,microeconomics,synthetic_concept_advanced_004,4,advanced,,SYNTH_ANSWER_019,SYNTH_MISCONCEPTION_019,placeholder error mode 019; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_005,managerial_accounting,synthetic_concept_intermediate_005,3,intermediate,,SYNTH_ANSWER_020,SYNTH_MISCONCEPTION_020,placeholder error mode 020; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_005,corporate_finance,synthetic_concept_introductory_005,1,introductory,,SYNTH_ANSWER_021,SYNTH_MISCONCEPTION_021,placeholder error mode 021; no instructional content behind it,synthetic_placeholder
SYNTH_operations_005,operations,synthetic_concept_advanced_005,4,advanced,,SYNTH_ANSWER_022,SYNTH_MISCONCEPTION_022,placeholder error mode 022; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_005,marketing_analytics,synthetic_concept_intermediate_005,3,intermediate,,SYNTH_ANSWER_023,SYNTH_MISCONCEPTION_023,placeholder error mode 023; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_005,microeconomics,synthetic_concept_intermediate_005,3,intermediate,,SYNTH_ANSWER_024,SYNTH_MISCONCEPTION_024,placeholder error mode 024; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_006,managerial_accounting,synthetic_concept_introductory_006,2,introductory,,SYNTH_ANSWER_025,SYNTH_MISCONCEPTION_025,placeholder error mode 025; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_006,corporate_finance,synthetic_concept_intermediate_006,3,intermediate,,SYNTH_ANSWER_026,SYNTH_MISCONCEPTION_026,placeholder error mode 026; no instructional content behind it,synthetic_placeholder
SYNTH_operations_006,operations,synthetic_concept_introductory_006,1,introductory,,SYNTH_ANSWER_027,SYNTH_MISCONCEPTION_027,placeholder error mode 027; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_006,marketing_analytics,synthetic_concept_introductory_006,1,introductory,,SYNTH_ANSWER_028,SYNTH_MISCONCEPTION_028,placeholder error mode 028; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_006,microeconomics,synthetic_concept_advanced_006,4,advanced,,SYNTH_ANSWER_029,SYNTH_MISCONCEPTION_029,placeholder error mode 029; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_007,managerial_accounting,synthetic_concept_intermediate_007,3,intermediate,,SYNTH_ANSWER_030,SYNTH_MISCONCEPTION_030,placeholder error mode 030; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_007,corporate_finance,synthetic_concept_advanced_007,4,advanced,,SYNTH_ANSWER_031,SYNTH_MISCONCEPTION_031,placeholder error mode 031; no instructional content behind it,synthetic_placeholder
SYNTH_operations_007,operations,synthetic_concept_introductory_007,1,introductory,,SYNTH_ANSWER_032,SYNTH_MISCONCEPTION_032,placeholder error mode 032; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_007,marketing_analytics,synthetic_concept_introductory_007,1,introductory,,SYNTH_ANSWER_033,SYNTH_MISCONCEPTION_033,placeholder error mode 033; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_007,microeconomics,synthetic_concept_intermediate_007,3,intermediate,,SYNTH_ANSWER_034,SYNTH_MISCONCEPTION_034,placeholder error mode 034; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_008,managerial_accounting,synthetic_concept_intermediate_008,3,intermediate,,SYNTH_ANSWER_035,SYNTH_MISCONCEPTION_035,placeholder error mode 035; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_008,corporate_finance,synthetic_concept_advanced_008,4,advanced,,SYNTH_ANSWER_036,SYNTH_MISCONCEPTION_036,placeholder error mode 036; no instructional content behind it,synthetic_placeholder
SYNTH_operations_008,operations,synthetic_concept_intermediate_008,3,intermediate,,SYNTH_ANSWER_037,SYNTH_MISCONCEPTION_037,placeholder error mode 037; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_008,marketing_analytics,synthetic_concept_advanced_008,4,advanced,,SYNTH_ANSWER_038,SYNTH_MISCONCEPTION_038,placeholder error mode 038; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_008,microeconomics,synthetic_concept_intermediate_008,3,intermediate,,SYNTH_ANSWER_039,SYNTH_MISCONCEPTION_039,placeholder error mode 039; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_009,managerial_accounting,synthetic_concept_introductory_009,1,introductory,,SYNTH_ANSWER_040,SYNTH_MISCONCEPTION_040,placeholder error mode 040; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_009,corporate_finance,synthetic_concept_intermediate_009,3,intermediate,,SYNTH_ANSWER_041,SYNTH_MISCONCEPTION_041,placeholder error mode 041; no instructional content behind it,synthetic_placeholder
SYNTH_operations_009,operations,synthetic_concept_introductory_009,1,introductory,,SYNTH_ANSWER_042,SYNTH_MISCONCEPTION_042,placeholder error mode 042; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_009,marketing_analytics,synthetic_concept_introductory_009,1,introductory,,SYNTH_ANSWER_043,SYNTH_MISCONCEPTION_043,placeholder error mode 043; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_009,microeconomics,synthetic_concept_intermediate_009,3,intermediate,,SYNTH_ANSWER_044,SYNTH_MISCONCEPTION_044,placeholder error mode 044; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_010,managerial_accounting,synthetic_concept_advanced_010,4,advanced,,SYNTH_ANSWER_045,SYNTH_MISCONCEPTION_045,placeholder error mode 045; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_010,corporate_finance,synthetic_concept_introductory_010,2,introductory,,SYNTH_ANSWER_046,SYNTH_MISCONCEPTION_046,placeholder error mode 046; no instructional content behind it,synthetic_placeholder
SYNTH_operations_010,operations,synthetic_concept_advanced_010,5,advanced,,SYNTH_ANSWER_047,SYNTH_MISCONCEPTION_047,placeholder error mode 047; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_010,marketing_analytics,synthetic_concept_intermediate_010,3,intermediate,,SYNTH_ANSWER_048,SYNTH_MISCONCEPTION_048,placeholder error mode 048; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_010,microeconomics,synthetic_concept_introductory_010,2,introductory,,SYNTH_ANSWER_049,SYNTH_MISCONCEPTION_049,placeholder error mode 049; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_011,managerial_accounting,synthetic_concept_introductory_011,2,introductory,,SYNTH_ANSWER_050,SYNTH_MISCONCEPTION_050,placeholder error mode 050; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_011,corporate_finance,synthetic_concept_introductory_011,1,introductory,,SYNTH_ANSWER_051,SYNTH_MISCONCEPTION_051,placeholder error mode 051; no instructional content behind it,synthetic_placeholder
SYNTH_operations_011,operations,synthetic_concept_advanced_011,5,advanced,,SYNTH_ANSWER_052,SYNTH_MISCONCEPTION_052,placeholder error mode 052; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_011,marketing_analytics,synthetic_concept_introductory_011,2,introductory,,SYNTH_ANSWER_053,SYNTH_MISCONCEPTION_053,placeholder error mode 053; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_011,microeconomics,synthetic_concept_advanced_011,5,advanced,,SYNTH_ANSWER_054,SYNTH_MISCONCEPTION_054,placeholder error mode 054; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_012,managerial_accounting,synthetic_concept_advanced_012,4,advanced,,SYNTH_ANSWER_055,SYNTH_MISCONCEPTION_055,placeholder error mode 055; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_012,corporate_finance,synthetic_concept_advanced_012,4,advanced,,SYNTH_ANSWER_056,SYNTH_MISCONCEPTION_056,placeholder error mode 056; no instructional content behind it,synthetic_placeholder
SYNTH_operations_012,operations,synthetic_concept_introductory_012,1,introductory,,SYNTH_ANSWER_057,SYNTH_MISCONCEPTION_057,placeholder error mode 057; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_012,marketing_analytics,synthetic_concept_intermediate_012,3,intermediate,,SYNTH_ANSWER_058,SYNTH_MISCONCEPTION_058,placeholder error mode 058; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_012,microeconomics,synthetic_concept_advanced_012,4,advanced,,SYNTH_ANSWER_059,SYNTH_MISCONCEPTION_059,placeholder error mode 059; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_013,managerial_accounting,synthetic_concept_introductory_013,2,introductory,,SYNTH_ANSWER_060,SYNTH_MISCONCEPTION_060,placeholder error mode 060; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_013,corporate_finance,synthetic_concept_advanced_013,5,advanced,,SYNTH_ANSWER_061,SYNTH_MISCONCEPTION_061,placeholder error mode 061; no instructional content behind it,synthetic_placeholder
SYNTH_operations_013,operations,synthetic_concept_advanced_013,5,advanced,,SYNTH_ANSWER_062,SYNTH_MISCONCEPTION_062,placeholder error mode 062; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_013,marketing_analytics,synthetic_concept_intermediate_013,3,intermediate,,SYNTH_ANSWER_063,SYNTH_MISCONCEPTION_063,placeholder error mode 063; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_013,microeconomics,synthetic_concept_introductory_013,2,introductory,,SYNTH_ANSWER_064,SYNTH_MISCONCEPTION_064,placeholder error mode 064; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_014,managerial_accounting,synthetic_concept_advanced_014,5,advanced,,SYNTH_ANSWER_065,SYNTH_MISCONCEPTION_065,placeholder error mode 065; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_014,corporate_finance,synthetic_concept_intermediate_014,3,intermediate,,SYNTH_ANSWER_066,SYNTH_MISCONCEPTION_066,placeholder error mode 066; no instructional content behind it,synthetic_placeholder
SYNTH_operations_014,operations,synthetic_concept_introductory_014,1,introductory,,SYNTH_ANSWER_067,SYNTH_MISCONCEPTION_067,placeholder error mode 067; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_014,marketing_analytics,synthetic_concept_introductory_014,2,introductory,,SYNTH_ANSWER_068,SYNTH_MISCONCEPTION_068,placeholder error mode 068; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_014,microeconomics,synthetic_concept_intermediate_014,3,intermediate,,SYNTH_ANSWER_069,SYNTH_MISCONCEPTION_069,placeholder error mode 069; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_015,managerial_accounting,synthetic_concept_advanced_015,5,advanced,,SYNTH_ANSWER_070,SYNTH_MISCONCEPTION_070,placeholder error mode 070; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_015,corporate_finance,synthetic_concept_introductory_015,2,introductory,,SYNTH_ANSWER_071,SYNTH_MISCONCEPTION_071,placeholder error mode 071; no instructional content behind it,synthetic_placeholder
SYNTH_operations_015,operations,synthetic_concept_advanced_015,5,advanced,,SYNTH_ANSWER_072,SYNTH_MISCONCEPTION_072,placeholder error mode 072; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_015,marketing_analytics,synthetic_concept_intermediate_015,3,intermediate,,SYNTH_ANSWER_073,SYNTH_MISCONCEPTION_073,placeholder error mode 073; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_015,microeconomics,synthetic_concept_intermediate_015,3,intermediate,,SYNTH_ANSWER_074,SYNTH_MISCONCEPTION_074,placeholder error mode 074; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_016,managerial_accounting,synthetic_concept_advanced_016,4,advanced,,SYNTH_ANSWER_075,SYNTH_MISCONCEPTION_075,placeholder error mode 075; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_016,corporate_finance,synthetic_concept_advanced_016,5,advanced,,SYNTH_ANSWER_076,SYNTH_MISCONCEPTION_076,placeholder error mode 076; no instructional content behind it,synthetic_placeholder
SYNTH_operations_016,operations,synthetic_concept_advanced_016,5,advanced,,SYNTH_ANSWER_077,SYNTH_MISCONCEPTION_077,placeholder error mode 077; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_016,marketing_analytics,synthetic_concept_intermediate_016,3,intermediate,,SYNTH_ANSWER_078,SYNTH_MISCONCEPTION_078,placeholder error mode 078; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_016,microeconomics,synthetic_concept_advanced_016,4,advanced,,SYNTH_ANSWER_079,SYNTH_MISCONCEPTION_079,placeholder error mode 079; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_017,managerial_accounting,synthetic_concept_advanced_017,5,advanced,,SYNTH_ANSWER_080,SYNTH_MISCONCEPTION_080,placeholder error mode 080; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_017,corporate_finance,synthetic_concept_intermediate_017,3,intermediate,,SYNTH_ANSWER_081,SYNTH_MISCONCEPTION_081,placeholder error mode 081; no instructional content behind it,synthetic_placeholder
SYNTH_operations_017,operations,synthetic_concept_advanced_017,5,advanced,,SYNTH_ANSWER_082,SYNTH_MISCONCEPTION_082,placeholder error mode 082; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_017,marketing_analytics,synthetic_concept_intermediate_017,3,intermediate,,SYNTH_ANSWER_083,SYNTH_MISCONCEPTION_083,placeholder error mode 083; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_017,microeconomics,synthetic_concept_advanced_017,4,advanced,,SYNTH_ANSWER_084,SYNTH_MISCONCEPTION_084,placeholder error mode 084; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_018,managerial_accounting,synthetic_concept_introductory_018,2,introductory,,SYNTH_ANSWER_085,SYNTH_MISCONCEPTION_085,placeholder error mode 085; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_018,corporate_finance,synthetic_concept_advanced_018,5,advanced,,SYNTH_ANSWER_086,SYNTH_MISCONCEPTION_086,placeholder error mode 086; no instructional content behind it,synthetic_placeholder
SYNTH_operations_018,operations,synthetic_concept_intermediate_018,3,intermediate,,SYNTH_ANSWER_087,SYNTH_MISCONCEPTION_087,placeholder error mode 087; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_018,marketing_analytics,synthetic_concept_advanced_018,4,advanced,,SYNTH_ANSWER_088,SYNTH_MISCONCEPTION_088,placeholder error mode 088; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_018,microeconomics,synthetic_concept_intermediate_018,3,intermediate,,SYNTH_ANSWER_089,SYNTH_MISCONCEPTION_089,placeholder error mode 089; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_019,managerial_accounting,synthetic_concept_introductory_019,2,introductory,,SYNTH_ANSWER_090,SYNTH_MISCONCEPTION_090,placeholder error mode 090; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_019,corporate_finance,synthetic_concept_intermediate_019,3,intermediate,,SYNTH_ANSWER_091,SYNTH_MISCONCEPTION_091,placeholder error mode 091; no instructional content behind it,synthetic_placeholder
SYNTH_operations_019,operations,synthetic_concept_advanced_019,4,advanced,,SYNTH_ANSWER_092,SYNTH_MISCONCEPTION_092,placeholder error mode 092; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_019,marketing_analytics,synthetic_concept_introductory_019,1,introductory,,SYNTH_ANSWER_093,SYNTH_MISCONCEPTION_093,placeholder error mode 093; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_019,microeconomics,synthetic_concept_advanced_019,5,advanced,,SYNTH_ANSWER_094,SYNTH_MISCONCEPTION_094,placeholder error mode 094; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_020,managerial_accounting,synthetic_concept_advanced_020,4,advanced,,SYNTH_ANSWER_095,SYNTH_MISCONCEPTION_095,placeholder error mode 095; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_020,corporate_finance,synthetic_concept_advanced_020,4,advanced,,SYNTH_ANSWER_096,SYNTH_MISCONCEPTION_096,placeholder error mode 096; no instructional content behind it,synthetic_placeholder
SYNTH_operations_020,operations,synthetic_concept_advanced_020,5,advanced,,SYNTH_ANSWER_097,SYNTH_MISCONCEPTION_097,placeholder error mode 097; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_020,marketing_analytics,synthetic_concept_intermediate_020,3,intermediate,,SYNTH_ANSWER_098,SYNTH_MISCONCEPTION_098,placeholder error mode 098; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_020,microeconomics,synthetic_concept_intermediate_020,3,intermediate,,SYNTH_ANSWER_099,SYNTH_MISCONCEPTION_099,placeholder error mode 099; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_021,managerial_accounting,synthetic_concept_advanced_021,5,advanced,,SYNTH_ANSWER_100,SYNTH_MISCONCEPTION_100,placeholder error mode 100; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_021,corporate_finance,synthetic_concept_advanced_021,5,advanced,,SYNTH_ANSWER_101,SYNTH_MISCONCEPTION_101,placeholder error mode 101; no instructional content behind it,synthetic_placeholder
SYNTH_operations_021,operations,synthetic_concept_intermediate_021,3,intermediate,,SYNTH_ANSWER_102,SYNTH_MISCONCEPTION_102,placeholder error mode 102; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_021,marketing_analytics,synthetic_concept_introductory_021,2,introductory,,SYNTH_ANSWER_103,SYNTH_MISCONCEPTION_103,placeholder error mode 103; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_021,microeconomics,synthetic_concept_intermediate_021,3,intermediate,,SYNTH_ANSWER_104,SYNTH_MISCONCEPTION_104,placeholder error mode 104; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_022,managerial_accounting,synthetic_concept_introductory_022,1,introductory,,SYNTH_ANSWER_105,SYNTH_MISCONCEPTION_105,placeholder error mode 105; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_022,corporate_finance,synthetic_concept_advanced_022,4,advanced,,SYNTH_ANSWER_106,SYNTH_MISCONCEPTION_106,placeholder error mode 106; no instructional content behind it,synthetic_placeholder
SYNTH_operations_022,operations,synthetic_concept_intermediate_022,3,intermediate,,SYNTH_ANSWER_107,SYNTH_MISCONCEPTION_107,placeholder error mode 107; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_022,marketing_analytics,synthetic_concept_advanced_022,5,advanced,,SYNTH_ANSWER_108,SYNTH_MISCONCEPTION_108,placeholder error mode 108; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_022,microeconomics,synthetic_concept_introductory_022,1,introductory,,SYNTH_ANSWER_109,SYNTH_MISCONCEPTION_109,placeholder error mode 109; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_023,managerial_accounting,synthetic_concept_intermediate_023,3,intermediate,,SYNTH_ANSWER_110,SYNTH_MISCONCEPTION_110,placeholder error mode 110; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_023,corporate_finance,synthetic_concept_introductory_023,2,introductory,,SYNTH_ANSWER_111,SYNTH_MISCONCEPTION_111,placeholder error mode 111; no instructional content behind it,synthetic_placeholder
SYNTH_operations_023,operations,synthetic_concept_intermediate_023,3,intermediate,,SYNTH_ANSWER_112,SYNTH_MISCONCEPTION_112,placeholder error mode 112; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_023,marketing_analytics,synthetic_concept_introductory_023,1,introductory,,SYNTH_ANSWER_113,SYNTH_MISCONCEPTION_113,placeholder error mode 113; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_023,microeconomics,synthetic_concept_intermediate_023,3,intermediate,,SYNTH_ANSWER_114,SYNTH_MISCONCEPTION_114,placeholder error mode 114; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_024,managerial_accounting,synthetic_concept_advanced_024,4,advanced,,SYNTH_ANSWER_115,SYNTH_MISCONCEPTION_115,placeholder error mode 115; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_024,corporate_finance,synthetic_concept_intermediate_024,3,intermediate,,SYNTH_ANSWER_116,SYNTH_MISCONCEPTION_116,placeholder error mode 116; no instructional content behind it,synthetic_placeholder
SYNTH_operations_024,operations,synthetic_concept_advanced_024,4,advanced,,SYNTH_ANSWER_117,SYNTH_MISCONCEPTION_117,placeholder error mode 117; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_024,marketing_analytics,synthetic_concept_introductory_024,2,introductory,,SYNTH_ANSWER_118,SYNTH_MISCONCEPTION_118,placeholder error mode 118; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_024,microeconomics,synthetic_concept_intermediate_024,3,intermediate,,SYNTH_ANSWER_119,SYNTH_MISCONCEPTION_119,placeholder error mode 119; no instructional content behind it,synthetic_placeholder
